participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,44,668.5,0.0,meridianH,0.48,horizontal,right,right,1,2,right_horizontal,7,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,45,668.5,0.0,meridianH,0.47,horizontal,right,right,1,1,right_horizontal,8,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,46,0.0,-668.5,meridianV,0.74,horizontal,down,down,1,1,down_horizontal,5,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,47,0.0,-668.5,meridianV,0.02,horizontal,down,right,0,0,down_horizontal,6,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,48,-668.5,0.0,meridianH,0.48,vertical,left,left,1,1,left_vertical,5,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,49,668.5,0.0,meridianH,0.48,vertical,right,right,1,2,right_vertical,6,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,50,668.5,0.0,meridianH,0.47,vertical,right,right,1,1,right_vertical,7,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,51,0.0,668.5,meridianV,0.95,horizontal,up,up,1,2,up_horizontal,9,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,52,0.0,668.5,meridianV,0.45999999999999996,horizontal,up,up,1,1,up_horizontal,10,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,53,668.5,0.0,meridianH,0.47,vertical,right,right,1,2,right_vertical,8,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,54,0.0,668.5,meridianV,0.45999999999999996,horizontal,up,up,1,2,up_horizontal,11,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,55,-668.5,0.0,meridianH,0.48,horizontal,left,left,1,2,left_horizontal,7,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,56,-668.5,0.0,meridianH,0.73,horizontal,left,left,1,3,left_horizontal,8,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,57,0.0,668.5,meridianV,0.0,vertical,up,up,1,2,up_vertical,6,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,58,0.0,-668.5,meridianV,0.48,vertical,down,down,1,2,down_vertical,6,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,59,-668.5,0.0,meridianH,0.47,horizontal,left,left,1,1,left_horizontal,9,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,60,0.0,-668.5,meridianV,0.03,horizontal,down,down,1,1,down_horizontal,7,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,61,0.0,668.5,meridianV,0.89,vertical,up,up,1,3,up_vertical,7,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,62,668.5,0.0,meridianH,0.47,horizontal,right,right,1,2,right_horizontal,9,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,63,0.0,-668.5,meridianV,0.03,horizontal,down,left,0,0,down_horizontal,8,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,64,-668.5,0.0,meridianH,0.47,horizontal,left,left,1,2,left_horizontal,10,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,65,0.0,-668.5,meridianV,0.47,vertical,down,down,1,1,down_vertical,7,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,66,0.0,668.5,meridianV,0.71,horizontal,up,up,1,3,up_horizontal,12,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,67,0.0,-668.5,meridianV,0.47,vertical,down,down,1,2,down_vertical,8,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,68,0.0,668.5,meridianV,0.01,vertical,up,right,0,0,up_vertical,8,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,69,0.0,668.5,meridianV,0.44999999999999996,horizontal,up,up,1,1,up_horizontal,13,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,70,668.5,0.0,meridianH,0.45999999999999996,vertical,right,right,1,1,right_vertical,9,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,71,668.5,0.0,meridianH,0.7,vertical,right,right,1,2,right_vertical,10,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,72,0.0,668.5,meridianV,0.02,vertical,up,left,0,0,up_vertical,9,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,73,0.0,-668.5,meridianV,0.04,horizontal,down,right,0,0,down_horizontal,9,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,74,-668.5,0.0,meridianH,0.48,vertical,left,down,0,0,left_vertical,6,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,75,-668.5,0.0,meridianH,0.45999999999999996,horizontal,left,left,1,1,left_horizontal,11,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,76,0.0,-668.5,meridianV,0.8,horizontal,down,down,1,1,down_horizontal,10,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,77,-668.5,0.0,meridianH,0.49,vertical,left,left,1,1,left_vertical,7,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,78,-668.5,0.0,meridianH,0.45999999999999996,horizontal,left,left,1,2,left_horizontal,12,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,79,0.0,668.5,meridianV,0.44999999999999996,horizontal,up,up,1,2,up_horizontal,14,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,80,668.5,0.0,meridianH,0.45999999999999996,horizontal,right,right,1,1,right_horizontal,10,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,81,0.0,668.5,meridianV,0.8,vertical,up,up,1,1,up_vertical,10,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,82,-668.5,0.0,meridianH,0.49,vertical,left,left,1,2,left_vertical,8,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,83,0.0,668.5,meridianV,0.43999999999999995,horizontal,up,up,1,1,up_horizontal,15,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,84,0.0,-668.5,meridianV,0.45999999999999996,vertical,down,down,1,1,down_vertical,9,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,85,668.5,0.0,meridianH,0.45999999999999996,horizontal,right,right,1,2,right_horizontal,11,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,86,-668.5,0.0,meridianH,1.0,vertical,left,left,1,3,left_vertical,9,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,87,-668.5,0.0,meridianH,0.48,vertical,left,left,1,1,left_vertical,10,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,88,668.5,0.0,meridianH,0.44999999999999996,vertical,right,right,1,1,right_vertical,11,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,89,668.5,0.0,meridianH,0.44999999999999996,horizontal,right,right,1,1,right_horizontal,12,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,90,0.0,-668.5,meridianV,0.45999999999999996,vertical,down,down,1,2,down_vertical,10,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,91,0.0,-668.5,meridianV,0.74,vertical,down,down,1,3,down_vertical,11,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,92,0.0,668.5,meridianV,0.43999999999999995,horizontal,up,up,1,2,up_horizontal,16,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,93,668.5,0.0,meridianH,0.44999999999999996,vertical,right,right,1,2,right_vertical,12,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,94,668.5,0.0,meridianH,0.43999999999999995,vertical,right,right,1,1,right_vertical,13,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,95,-668.5,0.0,meridianH,0.48,vertical,left,down,0,0,left_vertical,11,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,96,-668.5,0.0,meridianH,0.87,vertical,left,left,1,1,left_vertical,12,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,97,-668.5,0.0,meridianH,0.48,vertical,left,left,1,2,left_vertical,13,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,98,0.0,668.5,meridianV,0.02,vertical,up,down,0,0,up_vertical,11,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,99,0.0,-668.5,meridianV,0.04,horizontal,down,up,0,0,down_horizontal,11,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,100,668.5,0.0,meridianH,0.44999999999999996,horizontal,right,right,1,2,right_horizontal,13,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,101,0.0,-668.5,meridianV,0.79,horizontal,down,right,0,0,down_horizontal,12,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,102,0.0,668.5,meridianV,0.03,vertical,up,up,1,1,up_vertical,12,staircase
