participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,50,0.0,-668.5,meridianV,0.47,vertical,down,down,1,2,down_vertical,10,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,51,0.0,668.5,meridianV,0.76,vertical,up,up,1,2,up_vertical,8,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,52,0.0,-668.5,meridianV,0.45999999999999996,vertical,down,down,1,1,down_vertical,11,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,53,-668.5,0.0,meridianH,0.02,vertical,left,left,1,1,left_vertical,4,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,54,0.0,668.5,meridianV,0.49,horizontal,up,up,1,2,up_horizontal,5,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,55,668.5,0.0,meridianH,0.47,vertical,right,right,1,1,right_vertical,8,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,56,-668.5,0.0,meridianH,0.93,horizontal,left,left,1,3,left_horizontal,7,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,57,0.0,-668.5,meridianV,0.47,horizontal,down,down,1,1,down_horizontal,7,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,58,668.5,0.0,meridianH,0.47,vertical,right,right,1,2,right_vertical,9,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,59,668.5,0.0,meridianH,0.03,horizontal,right,up,0,0,right_horizontal,8,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,60,0.0,668.5,meridianV,0.45999999999999996,vertical,up,up,1,1,up_vertical,9,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,61,0.0,-668.5,meridianV,0.71,horizontal,down,down,1,2,down_horizontal,8,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,62,0.0,-668.5,meridianV,0.45999999999999996,horizontal,down,down,1,1,down_horizontal,9,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,63,0.0,-668.5,meridianV,0.45999999999999996,vertical,down,down,1,2,down_vertical,12,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,64,-668.5,0.0,meridianH,0.47,horizontal,left,left,1,1,left_horizontal,8,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,65,-668.5,0.0,meridianH,0.47,horizontal,left,left,1,2,left_horizontal,9,staircase
