participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,43,0.0,668.5,meridianV,0.49,vertical,up,up,1,1,up_vertical,3,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,44,-668.5,0.0,meridianH,0.48,horizontal,left,left,1,1,left_horizontal,5,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,45,0.0,-668.5,meridianV,0.02,vertical,down,up,0,0,down_vertical,10,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,46,-668.5,0.0,meridianH,0.87,vertical,left,left,1,3,left_vertical,6,highCont
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,47,0.0,-668.5,meridianV,0.03,vertical,down,down,1,1,down_vertical,11,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,48,668.5,0.0,meridianH,0.47,horizontal,right,right,1,2,right_horizontal,8,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,49,668.5,0.0,meridianH,0.45999999999999996,horizontal,right,right,1,1,right_horizontal,9,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,50,668.5,0.0,meridianH,0.02,vertical,right,up,0,0,right_vertical,4,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,51,0.0,668.5,meridianV,0.77,vertical,up,up,1,2,up_vertical,4,highCont
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,52,0.0,668.5,meridianV,0.48,vertical,up,up,1,1,up_vertical,5,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,53,0.0,668.5,meridianV,0.48,vertical,up,up,1,2,up_vertical,6,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,54,668.5,0.0,meridianH,0.03,vertical,right,left,0,0,right_vertical,5,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,55,0.0,668.5,meridianV,0.47,vertical,up,up,1,1,up_vertical,7,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,56,-668.5,0.0,meridianH,0.87,vertical,left,left,1,4,left_vertical,7,highCont
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,57,-668.5,0.0,meridianH,0.48,horizontal,left,left,1,2,left_horizontal,6,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,58,-668.5,0.0,meridianH,0.48,vertical,left,left,1,1,left_vertical,8,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,59,668.5,0.0,meridianH,0.45999999999999996,horizontal,right,right,1,2,right_horizontal,10,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,60,668.5,0.0,meridianH,0.04,vertical,right,up,0,0,right_vertical,6,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,61,0.0,-668.5,meridianV,0.88,vertical,down,down,1,2,down_vertical,12,highCont
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,62,-668.5,0.0,meridianH,0.47,horizontal,left,left,1,1,left_horizontal,7,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,63,0.0,668.5,meridianV,0.47,horizontal,up,up,1,1,up_horizontal,8,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,64,0.0,668.5,meridianV,0.47,vertical,up,up,1,2,up_vertical,8,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,65,668.5,0.0,meridianH,0.44999999999999996,horizontal,right,right,1,1,right_horizontal,11,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,66,0.0,-668.5,meridianV,0.99,vertical,down,down,1,3,down_vertical,13,highCont
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,67,0.0,668.5,meridianV,0.45999999999999996,vertical,up,up,1,1,up_vertical,9,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,68,0.0,668.5,meridianV,0.47,horizontal,up,up,1,2,up_horizontal,9,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,69,-668.5,0.0,meridianH,0.47,horizontal,left,left,1,2,left_horizontal,8,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,70,0.0,668.5,meridianV,0.45999999999999996,horizontal,up,up,1,1,up_horizontal,10,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,71,-668.5,0.0,meridianH,0.92,horizontal,left,left,1,3,left_horizontal,9,highCont
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,72,0.0,-668.5,meridianV,0.019999999999999997,vertical,down,down,1,1,down_vertical,14,staircase
